Region,Date,Confirmed,Recovered/Migrated,Deceased
Andaman and Nicobar Islands,26032020,1.0,0.0,0.0
Andhra Pradesh,26032020,11.0,0.0,0.0
Bihar,26032020,7.0,0.0,1.0
Chandigarh,26032020,7.0,0.0,0.0
Chhattisgarh,26032020,6.0,0.0,0.0
Delhi,26032020,39.0,3.0,1.0
Goa,26032020,3.0,0.0,0.0
Gujarat,26032020,44.0,0.0,2.0
Haryana,26032020,32.0,0.0,0.0
Himachal Pradesh,26032020,3.0,1.0,1.0
Jammu and Kashmir,26032020,14.0,0.0,1.0
Karnataka,26032020,55.0,3.0,2.0
Kerala,26032020,137.0,11.0,0.0
Ladakh,26032020,13.0,0.0,0.0
Madhya Pradesh,26032020,20.0,0.0,1.0
Maharashtra,26032020,130.0,2.0,2.0
Manipur,26032020,1.0,0.0,0.0
Mizoram,26032020,1.0,0.0,0.0
Odisha,26032020,3.0,0.0,0.0
Puducherry,26032020,1.0,0.0,0.0
Punjab,26032020,33.0,0.0,1.0
Rajasthan,26032020,43.0,3.0,0.0
Tamil Nadu,26032020,29.0,1.0,1.0
Telangana,26032020,45.0,1.0,0.0
Uttar Pradesh,26032020,42.0,2.0,0.0
Uttarakhand,26032020,5.0,1.0,0.0
West Bengal,26032020,10.0,0.0,1.0
National Total,26032020,735.0,28.0,14.0
Andaman and Nicobar Islands,27032020,6.0,0.0,0.0
Andhra Pradesh,27032020,13.0,0.0,0.0
Bihar,27032020,9.0,0.0,1.0
Chandigarh,27032020,8.0,0.0,0.0
Chhattisgarh,27032020,6.0,0.0,0.0
Delhi,27032020,40.0,3.0,1.0
Goa,27032020,3.0,0.0,0.0
Gujarat,27032020,47.0,0.0,2.0
Haryana,27032020,33.0,0.0,0.0
Himachal Pradesh,27032020,3.0,2.0,1.0
Jammu and Kashmir,27032020,20.0,0.0,1.0
Karnataka,27032020,64.0,5.0,3.0
Kerala,27032020,176.0,11.0,0.0
Ladakh,27032020,13.0,0.0,0.0
Madhya Pradesh,27032020,29.0,0.0,2.0
