Region,Date,Confirmed,Recovered/Migrated,Deceased
Uttarakhand,20200323,4.0,1.0,0.0
West Bengal,20200323,7.0,0.0,1.0
Andhra Pradesh,20200324,8.0,0.0,0.0
Bihar,20200324,3.0,0.0,1.0
Chandigarh,20200324,7.0,0.0,0.0
Chhattisgarh,20200324,1.0,0.0,0.0
Delhi,20200324,30.0,3.0,1.0
Gujarat,20200324,36.0,0.0,1.0
Haryana,20200324,30.0,0.0,0.0
Himachal Pradesh,20200324,3.0,1.0,1.0
Jammu and Kashmir,20200324,6.0,0.0,1.0
Karnataka,20200324,41.0,3.0,1.0
Kerala,20200324,109.0,11.0,0.0
Ladakh,20200324,13.0,0.0,0.0
Madhya Pradesh,20200324,7.0,0.0,0.0
Maharashtra,20200324,107.0,0.0,2.0
Manipur,20200324,1.0,0.0,0.0
Odisha,20200324,2.0,0.0,0.0
Puducherry,20200324,1.0,0.0,0.0
Punjab,20200324,29.0,0.0,1.0
Rajasthan,20200324,32.0,3.0,0.0
Tamil Nadu,20200324,18.0,1.0,0.0
Telangana,20200324,39.0,1.0,0.0
Uttar Pradesh,20200324,35.0,2.0,0.0
Uttarakhand,20200324,4.0,1.0,0.0
West Bengal,20200324,9.0,0.0,1.0
Andhra Pradesh,20200325,10.0,0.0,0.0
Bihar,20200325,4.0,0.0,1.0
Chandigarh,20200325,7.0,0.0,0.0
Chhattisgarh,20200325,3.0,0.0,0.0
Delhi,20200325,35.0,3.0,1.0
Goa,20200325,3.0,0.0,0.0
Gujarat,20200325,38.0,0.0,2.0
Haryana,20200325,31.0,0.0,0.0
Himachal Pradesh,20200325,3.0,1.0,1.0
Jammu and Kashmir,20200325,11.0,0.0,1.0
Karnataka,20200325,51.0,3.0,1.0
Kerala,20200325,118.0,11.0,0.0
Ladakh,20200325,13.0,0.0,0.0
Madhya Pradesh,20200325,15.0,0.0,1.0
Maharashtra,20200325,122.0,2.0,2.0
Manipur,20200325,1.0,0.0,0.0
Mizoram,20200325,1.0,0.0,0.0
Odisha,20200325,2.0,0.0,0.0
Puducherry,20200325,1.0,0.0,0.0
Punjab,20200325,31.0,0.0,1.0
Rajasthan,20200325,38.0,3.0,0.0
Tamil Nadu,20200325,26.0,1.0,1.0
Telangana,20200325,41.0,1.0,0.0
Uttar Pradesh,20200325,38.0,2.0,0.0
Uttarakhand,20200325,5.0,1.0,0.0
West Bengal,20200325,9.0,0.0,1.0
Andaman and Nicobar Islands,20200326,1.0,0.0,0.0
Andhra Pradesh,20200326,11.0,0.0,0.0
Bihar,20200326,7.0,0.0,1.0
Chandigarh,20200326,7.0,0.0,0.0
Chhattisgarh,20200326,6.0,0.0,0.0
Delhi,20200326,39.0,3.0,1.0
Goa,20200326,3.0,0.0,0.0
Gujarat,20200326,44.0,0.0,2.0
Haryana,20200326,32.0,0.0,0.0
Himachal Pradesh,20200326,3.0,1.0,1.0
Jammu and Kashmir,20200326,14.0,0.0,1.0
